time,14 (0),14 (1),17 (0),17 (1),18 (0),18 (1),19 (0),19 (1),22 (0),22 (1),23 (0),23 (1),28 (0),28 (1),29 (0),29 (1),3 (0),3 (1),34 (0),34 (1),4 (0),4 (1),41 (0),41 (1),42 (0),42 (1),50 (0),50 (1),52 (0),52 (1),55 (0),55 (1),56 (0),56 (1),6 (0),6 (1),64 (0),64 (1),7 (0),7 (1),70 (0),70 (1),71 (0),71 (1),75 (0),75 (1),76 (0),77 (0),77 (1),79 (0),79 (1),8 (0),8 (1),84 (0),84 (1),86 (0),86 (1),87 (0),87 (1),88 (0),88 (1),89 (0),89 (1),9 (0),9 (1),90 (0),90 (1),93 (0),94 (0),94 (1),95 (0),95 (1)
05:45,0,0,0,0,2,0,0,0,2,0,0,2,6,0,1,0,4,0,0,0,0,0,0,0,0,4,0,6,0,2,0,4,0,6,2,0,0,0,0,6,0,0,0,0,0,0,2,0,4,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2
05:50,0,0,0,0,1,4,0,0,4,0,0,0,0,0,1,6,0,2,0,0,0,0,0,0,0,2,0,0,0,5,0,0,0,0,0,1,0,0,0,0,0,0,2,4,0,0,0,2,2,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2
05:55,2,0,0,0,0,0,2,0,0,0,0,4,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,2,0,1,0,0,0,2,0,0,0,0,0,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
06:00,0,2,0,0,0,0,0,0,2,0,2,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,6,2,4,4,1,4,4,0,0,0,0,1,4,0,0,4,0,0,2,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
06:05,0,0,0,1,0,0,0,0,0,0,4,0,0,0,0,0,0,8,2,2,0,0,6,0,0,0,0,0,0,4,0,1,0,2,0,0,0,0,1,0,0,0,0,2,6,0,0,0,0,3,0,0,4,0,0,0,2,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0
06:10,0,0,0,0,0,0,0,0,4,0,0,6,0,0,0,2,0,2,0,2,0,4,0,0,0,0,0,0,0,0,2,6,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
06:15,4,4,6,1,5,4,7,7,2,6,6,0,2,0,0,0,6,2,0,0,7,4,0,0,6,2,6,6,6,0,4,1,6,6,6,1,0,0,6,0,0,0,0,0,0,0,0,0,4,2,0,6,2,2,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,2
06:20,0,2,0,0,1,2,0,0,0,0,0,0,0,6,3,2,0,0,2,0,0,0,0,0,0,0,0,0,1,6,2,2,0,0,1,4,0,0,0,4,0,1,0,0,0,2,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0
06:25,2,0,0,1,0,0,0,0,2,2,2,6,0,0,1,2,2,0,0,0,0,0,0,4,0,0,0,0,2,2,0,5,2,2,0,0,0,0,0,2,0,0,4,0,2,4,2,4,0,0,2,0,2,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0
06:30,0,0,0,0,0,0,0,0,0,0,4,0,0,0,2,2,4,2,2,0,0,0,0,2,0,0,6,6,4,1,6,2,4,4,0,0,0,0,2,0,0,0,2,0,0,0,3,0,4,0,2,0,2,0,0,0,2,0,2,0,0,0,0,0,1,0,0,0,0,0,0,2
06:35,0,0,1,1,0,0,2,2,6,6,6,2,0,0,0,0,2,10,2,2,2,0,0,0,0,0,0,0,2,5,0,1,2,2,2,0,2,0,4,2,0,0,0,6,4,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,2,0,0,0,0
06:40,0,0,1,0,0,0,0,0,0,0,0,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,6,0,0,0,2,0,0,0,4,0,1,0,0,0,2,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
06:45,0,0,0,3,2,1,0,0,2,2,4,2,6,0,1,0,6,2,0,0,0,4,0,0,2,6,6,6,7,3,4,1,6,6,1,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
06:50,0,2,0,0,1,2,0,0,0,0,2,0,0,2,2,4,0,2,0,2,2,4,0,0,0,0,0,0,0,3,2,2,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,2,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,2,0,0
06:55,2,4,1,3,2,0,6,6,6,2,0,4,0,0,0,2,2,0,0,0,5,0,0,0,0,0,0,0,2,2,0,5,2,6,2,0,0,0,4,0,0,0,0,0,0,4,0,0,0,1,0,2,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
07:00,0,0,1,0,1,3,0,0,0,4,6,2,0,0,3,0,4,2,2,2,0,0,6,0,0,0,6,6,4,3,6,1,4,2,0,1,0,0,2,4,0,0,2,0,0,2,2,0,0,2,1,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0
07:05,0,0,0,1,0,0,0,0,2,2,0,0,0,0,1,0,2,8,3,2,0,0,0,0,0,0,0,0,2,3,0,2,2,0,0,1,0,0,0,2,0,0,0,2,6,0,0,0,0,1,0,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
07:10,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,2,2,4,0,6,0,0,0,0,0,0,1,0,4,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
07:15,4,0,3,1,2,1,2,2,6,2,6,0,2,0,0,0,6,0,0,0,2,0,0,0,6,2,6,6,6,1,4,1,6,0,6,2,0,0,6,0,0,0,0,4,0,0,0,0,6,0,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
07:20,0,2,1,0,1,2,0,0,0,4,0,0,0,6,3,2,0,2,0,0,0,0,0,1,0,0,0,0,0,3,2,1,0,2,0,2,0,0,0,6,0,0,0,0,0,2,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
07:25,2,0,2,1,0,0,0,0,2,4,2,6,0,0,1,2,2,0,0,0,0,4,0,5,0,0,4,0,2,2,2,4,4,4,0,1,0,0,0,0,0,0,0,0,2,4,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
07:30,0,0,0,0,0,0,0,0,0,0,4,0,0,0,2,2,4,2,1,2,0,4,0,0,0,0,6,6,4,1,6,2,4,2,0,1,2,0,2,0,0,1,2,0,0,0,2,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0
07:35,0,4,1,1,2,0,6,6,6,2,2,2,0,0,0,0,2,8,3,3,6,0,0,0,0,0,0,0,2,5,2,0,2,0,0,0,0,0,4,2,0,0,0,2,4,0,0,0,0,2,0,2,2,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
07:40,0,0,1,0,0,2,0,0,0,4,0,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,4,1,0,0,0,0,4,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
07:45,0,0,0,3,3,2,0,0,2,2,4,2,6,0,1,0,6,2,2,0,0,0,0,0,2,6,6,6,6,2,6,1,6,2,1,0,0,0,2,0,0,0,0,0,2,0,0,0,2,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0
07:50,0,2,0,0,1,2,0,0,0,0,2,0,0,2,2,4,0,2,0,0,0,0,0,0,0,0,0,0,0,4,2,1,0,0,0,2,0,0,0,2,0,1,4,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
07:55,6,0,1,3,0,0,2,2,6,2,0,4,0,0,0,2,2,0,0,0,2,0,0,0,0,0,0,0,2,0,0,5,2,6,0,0,0,0,4,0,0,0,0,4,0,4,2,4,0,0,2,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
08:00,0,0,1,0,0,0,0,0,0,4,6,2,0,0,3,0,4,0,0,1,0,0,6,0,0,0,6,6,4,4,6,0,4,0,0,0,0,0,2,4,1,0,2,0,0,2,4,0,4,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
08:05,0,0,0,1,0,0,0,0,2,2,0,4,0,0,1,0,2,10,3,3,0,2,0,0,0,0,0,0,2,2,0,2,2,2,0,0,0,0,0,2,0,0,0,2,6,0,0,2,0,2,2,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
08:10,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,2,0,2,0,0,0,6,0,0,0,0,0,0,0,2,2,4,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
08:15,0,4,3,1,4,1,4,6,6,2,6,0,0,0,0,0,6,0,0,2,7,0,0,0,6,2,6,6,6,2,4,1,6,2,6,4,2,0,6,0,0,0,0,0,0,0,0,0,2,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0
08:20,0,2,1,0,1,4,0,0,0,4,0,4,0,6,3,2,0,0,0,0,0,0,0,1,0,0,0,0,0,4,2,1,0,0,0,1,0,0,0,6,1,0,0,0,0,2,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
08:25,2,0,2,1,0,0,0,0,2,2,2,2,0,0,1,2,2,2,2,0,0,0,0,5,0,0,0,0,2,0,0,4,2,6,0,0,0,0,0,0,0,0,0,0,2,4,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0
08:30,0,0,0,0,1,1,0,0,0,0,4,0,0,0,2,2,4,2,1,0,0,0,0,0,0,0,6,6,4,4,6,2,4,0,0,0,0,0,2,0,0,1,6,0,0,0,2,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
08:35,4,0,1,1,0,0,2,0,6,2,2,6,0,0,0,0,2,8,3,3,2,0,0,0,0,0,0,0,2,2,0,0,2,2,1,0,0,0,4,2,0,0,0,6,4,0,0,0,0,4,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
08:40,0,0,1,0,0,0,0,0,0,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,6,0,4,0,2,0,0,0,4,0,0,0,0,0,2,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
08:45,0,0,0,3,2,1,0,2,2,2,4,2,6,0,1,0,6,2,0,0,0,2,0,0,2,6,6,6,6,2,4,0,6,2,1,0,0,0,2,0,0,0,0,0,2,0,4,0,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
08:50,0,2,0,0,1,2,0,0,0,0,2,4,0,0,2,3,0,2,0,0,0,6,0,0,0,0,0,0,0,4,2,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,2,2,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
08:55,2,4,1,3,2,0,4,4,6,2,0,0,0,0,0,3,2,0,0,2,6,0,0,0,0,0,0,0,2,0,0,6,2,6,0,0,0,0,4,0,0,0,0,0,0,4,0,0,0,0,2,2,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
09:00,0,0,1,0,0,2,0,0,0,4,6,2,0,0,3,0,4,0,0,1,0,0,6,0,0,0,6,6,4,4,6,0,4,0,0,0,0,0,2,4,1,0,2,0,0,2,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
09:05,0,0,0,0,0,0,2,0,2,2,0,4,0,0,1,0,2,10,5,3,0,0,0,0,0,0,0,0,2,2,0,2,2,2,0,0,0,0,0,2,0,0,0,2,4,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
09:10,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,2,4,0,4,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
09:15,4,0,3,2,3,2,0,2,6,2,6,0,0,0,0,0,6,0,0,0,2,0,0,0,6,2,6,6,6,3,4,2,6,2,6,3,0,0,6,4,0,0,4,4,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
09:20,0,2,1,1,1,2,0,0,0,4,0,4,0,6,3,3,0,0,0,0,0,0,0,1,0,0,0,0,0,3,2,0,0,2,0,1,0,0,0,2,1,0,0,0,0,0,0,0,0,4,0,0,4,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
09:25,2,0,2,1,0,0,0,0,2,2,2,2,0,0,0,3,2,2,0,0,0,2,0,5,0,0,0,0,2,0,0,6,2,4,0,0,0,0,0,0,0,0,0,0,0,4,2,4,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
09:30,0,0,0,0,0,0,0,0,0,0,4,0,0,0,3,0,4,2,1,0,0,6,0,0,0,0,6,6,4,4,6,0,4,2,0,0,0,0,2,0,0,1,2,0,0,2,4,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
09:35,0,4,0,0,2,0,6,4,6,2,2,6,0,0,0,0,2,8,3,3,6,0,0,0,0,0,0,0,2,2,0,2,2,0,0,0,0,0,4,6,0,0,0,2,4,0,0,2,0,2,4,6,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
09:40,0,0,0,0,2,2,0,0,0,4,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,2,4,0,6,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
09:45,0,0,2,3,0,1,0,2,2,2,4,2,6,0,0,0,6,2,2,0,0,0,0,0,2,6,6,6,6,4,4,2,6,0,2,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
09:50,0,2,1,2,1,2,0,0,0,0,2,4,0,0,3,3,0,2,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,2,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
09:55,6,0,1,1,0,0,0,0,6,2,0,0,0,0,0,3,2,0,0,0,2,0,0,0,0,0,0,0,2,0,0,6,2,4,0,0,0,0,4,4,0,0,4,4,0,4,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
10:00,0,0,0,0,1,1,0,0,0,4,6,2,0,0,3,0,4,8,0,1,0,0,6,0,0,0,6,6,4,5,6,0,4,2,0,0,0,0,2,0,1,0,2,0,0,2,2,0,0,2,0,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
10:05,0,0,0,0,2,0,2,0,2,2,0,4,0,0,0,0,2,2,3,1,0,2,0,0,0,0,0,0,2,1,0,2,2,2,0,0,0,0,0,2,0,0,0,2,4,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
10:10,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,2,0,6,0,0,0,0,0,0,0,2,2,4,0,4,0,2,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
10:15,0,4,3,0,2,1,4,6,6,2,6,0,0,0,0,0,6,0,0,2,6,0,0,0,6,2,6,6,6,4,4,2,6,0,6,3,0,0,6,4,0,0,0,0,2,0,4,0,6,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
10:20,0,2,1,2,1,4,0,0,0,4,0,4,0,6,2,3,0,0,0,0,0,0,0,1,0,0,0,0,0,2,2,0,0,4,0,1,0,0,0,2,1,0,0,0,0,0,0,2,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
10:25,2,0,2,1,2,0,0,0,2,2,2,2,0,0,1,3,2,2,2,0,0,0,0,5,0,0,0,0,2,0,0,6,2,2,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,2,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
10:30,0,0,0,0,0,0,0,0,0,0,4,0,0,0,3,0,4,10,1,0,0,0,0,0,0,0,6,6,4,7,6,0,4,2,0,0,0,0,2,0,0,1,2,0,0,2,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
10:35,4,0,0,0,0,0,2,0,6,2,2,6,0,0,0,0,2,0,3,1,2,0,0,0,0,0,0,0,2,0,0,2,2,2,0,0,0,0,4,6,0,0,4,6,4,0,0,0,0,2,0,0,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
10:40,0,0,0,1,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,2,4,0,4,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
10:45,0,0,2,1,1,2,0,2,2,2,4,2,6,0,0,0,6,2,0,0,0,2,0,0,2,6,6,6,6,5,4,2,6,0,2,1,0,0,2,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
10:50,0,2,1,2,1,2,0,0,0,0,2,4,0,0,2,3,0,2,0,0,0,6,0,0,0,0,0,0,0,2,2,0,0,4,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
10:55,2,4,1,2,4,0,4,4,6,2,0,0,0,0,1,3,4,0,0,1,6,0,0,0,0,0,0,0,2,0,0,6,2,2,0,0,0,0,4,4,0,0,0,0,0,4,0,4,0,0,2,2,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
11:00,0,0,0,0,0,2,0,0,0,4,6,2,0,0,3,0,4,8,0,2,0,0,6,0,0,0,6,6,4,6,6,0,4,2,0,0,0,0,2,0,1,0,2,0,0,2,5,0,6,0,0,0,6,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
11:05,0,0,0,0,0,0,2,0,2,2,0,4,0,0,0,0,2,2,5,1,0,0,0,0,0,0,0,0,2,0,0,2,2,2,0,1,0,0,0,2,0,0,0,2,4,0,1,2,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
11:10,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,2,2,6,0,4,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
11:15,4,0,3,0,0,1,0,2,6,2,6,0,0,0,0,0,6,0,0,0,2,0,0,0,6,2,6,6,6,5,4,2,6,0,6,1,0,0,6,4,0,0,4,4,2,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
11:20,0,2,1,2,1,2,0,0,0,4,0,4,0,6,2,3,0,0,0,0,0,0,0,1,0,0,0,0,0,1,2,0,0,4,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
11:25,2,0,2,1,2,0,0,0,2,2,2,2,0,0,1,3,2,2,0,0,0,2,0,5,0,0,0,0,2,2,0,6,2,2,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0,2,0,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
11:30,0,4,0,0,1,1,0,0,0,0,4,0,0,0,3,0,4,10,1,0,0,6,0,0,0,0,6,6,4,4,6,0,4,2,0,0,0,0,2,0,0,1,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
11:35,0,0,0,0,2,0,6,4,6,2,2,6,0,0,0,0,2,0,3,1,6,0,0,0,0,0,0,6,2,2,0,2,2,6,0,0,0,0,4,6,0,0,0,2,4,0,1,0,0,5,0,2,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
11:40,0,0,0,1,0,2,0,0,0,4,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,2,4,0,4,0,2,0,0,0,0,0,0,0,0,0,0,0,4,0,1,0,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
